description,,,,,,,,,,
field,w1,w2,w3,w4,w5,,,,,
field_001,well_1,well_2,well_3,well_4,well_5,,,,,
index,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid
1,627.0,1590.0,2001.0,770.0,541.0,4040.0,1101.0,2498.0,1442.0,2117.0
2,907.0,1030.0,2025.0,1060.0,1496.0,4750.0,1229.0,2571.0,1452.0,2118.0
3,912.0,2669.0,2027.0,1041.0,1498.0,4644.0,1250.0,2524.0,1486.0,2417.0
4,971.0,2430.0,2039.0,1218.0,1504.0,4317.0,1252.0,2528.0,1486.0,2017.0
5,1248.0,1671.0,2063.0,1260.0,1509.0,4569.0,1353.0,2473.0,1524.0,2450.0
