description,,,,,,,,,,
field,w1,w2,w3,w4,w5,,,,,
field_001,well_1,well_2,well_3,well_4,well_5,,,,,
index,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid
1,625.0,1564.0,2016.0,1140.0,541.0,4040.0,1114.0,2473.0,1422.0,2101.0
2,907.0,1030.0,2021.0,937.0,1278.0,5320.0,1231.0,2512.0,1451.0,1964.0
3,911.0,1637.0,2032.0,1028.0,1500.0,4501.0,1250.0,2512.0,1486.0,1995.0
4,919.0,1929.0,2042.0,1110.0,1504.0,4453.0,1250.0,2548.0,1486.0,2011.0
5,1250.0,1732.0,2054.0,868.0,1509.0,4569.0,1263.0,2393.0,1522.0,2142.0
