description,,,,,,,,,,
field,w1,w2,w3,w4,w5,,,,,
field_001,well_1,well_2,well_3,well_4,well_5,,,,,
index,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid,q_gl,q_liquid
1,417.0,1116.0,2019.0,1137.0,768.0,3999.0,1229.0,2431.0,1431.0,2023.0
2,900.0,807.0,2020.0,1142.0,1302.0,4362.0,1231.0,2512.0,1444.0,2053.0
3,912.0,2669.0,2031.0,1028.0,1501.0,4587.0,1250.0,2560.0,1476.0,2028.0
4,938.0,2119.0,2040.0,1182.0,1509.0,4543.0,1250.0,2548.0,1486.0,2017.0
5,1500.0,2535.0,2063.0,1133.0,1509.0,4661.0,1310.0,2441.0,1515.0,2023.0
